txn_id,date,amount_inr,type,bank,merchant,status
TXN00097,2024-02-26,21405.67,ATM,HDFC,Paytm,PENDING
TXN00098,2024-06-24,1319.69,RTGS,SBI,Uber,SUCCESS
TXN00099,2024-03-24,5439.18,NEFT,HDFC,Amazon,SUCCESS
TXN00100,2024-01-15,1619.89,UPI,HDFC,Amazon,PENDING
TXN00101,2024-02-28,31838.7,NEFT,Kotak,Uber,SUCCESS
TXN00102,2024-01-09,15752.08,UPI,SBI,PhonePe,SUCCESS
TXN00103,2024-03-21,25453.11,RTGS,SBI,BookMyShow,SUCCESS
TXN00104,2024-04-12,45382.95,RTGS,SBI,Amazon,SUCCESS
TXN00105,2024-03-09,12502.15,ATM,SBI,Swiggy,SUCCESS
TXN00106,2024-01-17,20548.63,NEFT,SBI,BigBasket,SUCCESS
TXN00107,2024-02-24,37789.78,ATM,Kotak,IRCTC,SUCCESS
TXN00108,2024-05-25,11478.47,NEFT,ICICI,Zomato,SUCCESS
TXN00109,2024-03-21,3895.15,ATM,HDFC,Amazon,PENDING
TXN00110,2024-02-24,15579.06,IMPS,SBI,Uber,DISCREPANCY
TXN00111,2024-06-16,8103.0,IMPS,ICICI,BigBasket,SUCCESS
TXN00112,2024-05-07,46488.4,IMPS,ICICI,Flipkart,SUCCESS
TXN00113,2024-04-11,40415.61,IMPS,HDFC,Paytm,SUCCESS
TXN00114,2024-06-13,31688.52,UPI,Kotak,Uber,SUCCESS
TXN00115,2024-04-27,46765.79,IMPS,Axis,BookMyShow,DISCREPANCY
TXN00116,2024-02-06,40193.42,RTGS,Axis,Swiggy,SUCCESS
TXN00117,2024-03-08,9369.17,RTGS,ICICI,Paytm,FAILED
TXN00118,2024-02-05,44633.32,UPI,HDFC,IRCTC,SUCCESS
TXN00119,2024-03-04,26990.14,IMPS,Axis,IRCTC,SUCCESS
TXN00120,2024-05-23,40381.64,IMPS,ICICI,PhonePe,SUCCESS
TXN00121,2024-05-17,44809.76,IMPS,Kotak,Ola,SUCCESS
TXN00122,2024-03-08,15934.27,ATM,Axis,PhonePe,SUCCESS
TXN00123,2024-05-29,5547.09,NEFT,ICICI,BookMyShow,SUCCESS
TXN00124,2024-04-19,11435.36,ATM,ICICI,BigBasket,SUCCESS
TXN00125,2024-05-29,21384.03,NEFT,SBI,Paytm,SUCCESS
TXN00126,2024-04-12,40909.84,IMPS,Kotak,Ola,SUCCESS
TXN00127,2024-04-02,43043.49,IMPS,SBI,Flipkart,SUCCESS
TXN00128,2024-02-26,397.26,ATM,HDFC,Swiggy,SUCCESS
TXN00129,2024-02-05,25561.83,ATM,SBI,Paytm,SUCCESS
TXN00130,2024-05-10,20899.68,NEFT,SBI,PhonePe,SUCCESS
TXN00131,2024-05-06,11144.29,RTGS,Axis,Zomato,SUCCESS
TXN00132,2024-01-24,6037.28,NEFT,ICICI,MakeMyTrip,SUCCESS
TXN00133,2024-01-13,16913.88,ATM,Kotak,Ola,SUCCESS
TXN00134,2024-01-29,47148.34,ATM,SBI,Ola,SUCCESS
TXN00135,2024-02-09,16193.99,UPI,Kotak,BookMyShow,SUCCESS
TXN00136,2024-06-09,25963.59,ATM,SBI,Swiggy,PENDING
TXN00137,2024-02-10,35165.8,UPI,HDFC,Amazon,SUCCESS
TXN00138,2024-06-23,18213.3,RTGS,SBI,IRCTC,PENDING
TXN00139,2024-04-18,48590.52,NEFT,Axis,IRCTC,SUCCESS
TXN00140,2024-06-01,48124.24,NEFT,ICICI,Zomato,SUCCESS
TXN00141,2024-01-17,12626.53,UPI,HDFC,BigBasket,SUCCESS
TXN00142,2024-04-08,24887.56,NEFT,SBI,BookMyShow,SUCCESS
TXN00143,2024-04-07,15078.87,ATM,Kotak,BigBasket,SUCCESS
TXN00144,2024-06-01,15033.15,IMPS,HDFC,Flipkart,DISCREPANCY
TXN00145,2024-04-29,1892.5,UPI,HDFC,Paytm,SUCCESS
TXN00146,2024-05-15,30497.74,NEFT,SBI,MakeMyTrip,SUCCESS
TXN00147,2024-03-05,25158.82,UPI,HDFC,Uber,SUCCESS
TXN00148,2024-05-21,2621.36,UPI,Kotak,Amazon,SUCCESS
TXN00149,2024-01-03,13968.39,IMPS,HDFC,PhonePe,SUCCESS
TXN00150,2024-06-23,45417.88,ATM,Kotak,Uber,SUCCESS
TXN00151,2024-01-30,11477.24,UPI,SBI,Uber,DISCREPANCY
TXN00152,2024-06-23,7287.5,NEFT,ICICI,BookMyShow,SUCCESS
TXN00153,2024-05-17,24498.17,RTGS,HDFC,Ola,SUCCESS
TXN00154,2024-03-09,49283.24,UPI,ICICI,Zomato,FAILED
TXN00155,2024-06-13,12140.66,UPI,Kotak,IRCTC,PENDING
TXN00156,2024-03-28,33623.17,IMPS,HDFC,Flipkart,SUCCESS
TXN00157,2024-01-29,38092.9,ATM,Axis,BigBasket,SUCCESS
TXN00158,2024-03-16,12802.01,RTGS,ICICI,MakeMyTrip,DISCREPANCY
TXN00159,2024-04-21,36424.41,NEFT,HDFC,BookMyShow,SUCCESS
TXN00160,2024-02-10,18420.77,RTGS,ICICI,Zomato,SUCCESS
TXN00161,2024-04-26,31633.68,NEFT,HDFC,Ola,SUCCESS
TXN00162,2024-01-01,31694.81,ATM,SBI,PhonePe,SUCCESS
TXN00163,2024-03-08,26811.95,NEFT,ICICI,Flipkart,FAILED
TXN00164,2024-05-08,4559.97,IMPS,Axis,BookMyShow,SUCCESS
TXN00165,2024-02-15,41773.36,IMPS,Axis,Ola,SUCCESS
TXN00166,2024-05-09,16072.96,IMPS,Kotak,MakeMyTrip,SUCCESS
TXN00167,2024-01-28,9366.6,IMPS,HDFC,IRCTC,FAILED
TXN00168,2024-06-09,2104.68,RTGS,ICICI,IRCTC,DISCREPANCY
TXN00169,2024-03-17,29565.1,ATM,Kotak,BookMyShow,SUCCESS
TXN00170,2024-06-12,33894.34,NEFT,ICICI,IRCTC,SUCCESS
TXN00171,2024-05-09,878.56,NEFT,HDFC,Zomato,SUCCESS
TXN00172,2024-06-04,25629.05,IMPS,Axis,Zomato,SUCCESS
TXN00173,2024-02-20,11363.46,IMPS,SBI,BigBasket,SUCCESS
TXN00174,2024-02-09,32276.38,UPI,Axis,BookMyShow,SUCCESS
TXN00175,2024-04-05,8759.6,ATM,Kotak,BigBasket,SUCCESS
TXN00176,2024-02-11,34562.34,RTGS,SBI,BookMyShow,SUCCESS
TXN00177,2024-05-18,19367.43,NEFT,Kotak,PhonePe,SUCCESS
TXN00178,2024-05-15,46839.66,UPI,HDFC,BookMyShow,SUCCESS
TXN00179,2024-01-01,6919.17,UPI,SBI,MakeMyTrip,SUCCESS
TXN00180,2024-06-02,17086.26,NEFT,Kotak,Flipkart,SUCCESS
TXN00181,2024-03-23,5718.0,RTGS,HDFC,Swiggy,SUCCESS
TXN00182,2024-05-05,46238.45,UPI,Axis,Swiggy,PENDING
TXN00183,2024-01-05,43873.1,UPI,HDFC,Ola,SUCCESS
TXN00184,2024-01-29,14178.42,ATM,ICICI,IRCTC,DISCREPANCY
TXN00185,2024-04-02,33016.2,RTGS,HDFC,Flipkart,SUCCESS
TXN00186,2024-03-19,40870.25,UPI,HDFC,Uber,SUCCESS
TXN00187,2024-03-02,29396.48,RTGS,ICICI,Zomato,DISCREPANCY
TXN00188,2024-01-15,26506.05,NEFT,Kotak,Paytm,SUCCESS
TXN00189,2024-03-02,12130.52,IMPS,Kotak,Amazon,SUCCESS
TXN00190,2024-05-25,4700.48,UPI,HDFC,PhonePe,SUCCESS
TXN00191,2024-01-21,44865.93,ATM,ICICI,IRCTC,SUCCESS
TXN00192,2024-01-22,45025.88,NEFT,ICICI,IRCTC,SUCCESS
TXN00193,2024-05-04,31673.42,RTGS,Axis,MakeMyTrip,SUCCESS
TXN00194,2024-01-18,16984.54,NEFT,Kotak,IRCTC,SUCCESS
TXN00195,2024-05-16,17493.02,UPI,SBI,Zomato,SUCCESS
TXN00196,2024-02-02,36311.49,RTGS,Kotak,Zomato,SUCCESS
TXN00197,2024-02-02,44860.66,IMPS,Kotak,Amazon,PENDING
TXN00198,2024-06-17,44359.97,NEFT,Axis,BookMyShow,SUCCESS
TXN00199,2024-05-01,39004.78,UPI,SBI,Uber,SUCCESS
TXN00200,2024-05-20,32119.48,ATM,Axis,Flipkart,SUCCESS
TXN00201,2024-02-12,4640.68,RTGS,SBI,IRCTC,DISCREPANCY
TXN00202,2024-03-08,8123.35,NEFT,HDFC,Swiggy,SUCCESS
TXN00203,2024-05-15,44932.78,NEFT,SBI,BigBasket,SUCCESS
TXN00204,2024-06-04,30341.13,IMPS,Axis,MakeMyTrip,SUCCESS
TXN00205,2024-04-18,509.39,IMPS,Kotak,MakeMyTrip,SUCCESS
TXN00206,2024-02-24,5118.5,ATM,SBI,Swiggy,SUCCESS
TXN00207,2024-05-18,33191.91,ATM,SBI,Ola,SUCCESS
TXN00208,2024-06-25,302.83,UPI,ICICI,Swiggy,SUCCESS
TXN00209,2024-02-21,8082.36,UPI,Kotak,Ola,PENDING
TXN00210,2024-03-20,27459.25,ATM,HDFC,Paytm,SUCCESS
TXN00211,2024-04-12,34610.17,ATM,Axis,BigBasket,SUCCESS
TXN00212,2024-06-20,32615.46,RTGS,HDFC,MakeMyTrip,PENDING
TXN00213,2024-06-15,11252.25,IMPS,Kotak,Swiggy,SUCCESS
TXN00214,2024-04-05,35623.35,UPI,SBI,Paytm,SUCCESS
TXN00215,2024-04-22,11900.59,IMPS,SBI,BookMyShow,SUCCESS
TXN00216,2024-05-12,16182.0,IMPS,Kotak,PhonePe,DISCREPANCY
TXN00217,2024-04-25,37337.25,ATM,SBI,Flipkart,SUCCESS
TXN00218,2024-01-31,32499.16,RTGS,SBI,Paytm,SUCCESS
TXN00219,2024-03-04,42468.71,NEFT,SBI,Flipkart,SUCCESS
TXN00220,2024-02-27,32897.76,RTGS,Axis,Swiggy,FAILED
TXN00221,2024-01-17,28437.01,RTGS,Axis,Uber,SUCCESS
TXN00222,2024-03-27,4729.05,IMPS,ICICI,BookMyShow,SUCCESS
TXN00223,2024-01-06,18417.4,RTGS,HDFC,Paytm,SUCCESS
TXN00224,2024-05-30,13296.86,UPI,Kotak,BigBasket,SUCCESS
TXN00225,2024-05-21,12237.28,IMPS,Kotak,Swiggy,SUCCESS
TXN00226,2024-02-28,48651.88,UPI,Kotak,IRCTC,PENDING
TXN00227,2024-05-30,19685.23,NEFT,ICICI,Zomato,SUCCESS
TXN00228,2024-02-26,42178.84,IMPS,Axis,Paytm,DISCREPANCY
TXN00229,2024-01-02,31575.37,NEFT,ICICI,BigBasket,SUCCESS
TXN00230,2024-01-19,39750.82,IMPS,Kotak,PhonePe,FAILED
TXN00231,2024-06-10,25156.72,ATM,HDFC,IRCTC,SUCCESS
TXN00232,2024-01-16,28866.35,RTGS,SBI,PhonePe,SUCCESS
TXN00233,2024-02-28,25746.48,ATM,Axis,Swiggy,DISCREPANCY
TXN00234,2024-01-18,10554.16,NEFT,Axis,Zomato,DISCREPANCY
TXN00235,2024-01-09,36136.48,RTGS,ICICI,Paytm,SUCCESS
TXN00236,2024-03-25,14074.58,IMPS,Axis,Paytm,FAILED
TXN00237,2024-01-19,1264.58,RTGS,Kotak,Uber,SUCCESS
TXN00238,2024-05-11,32291.34,UPI,Kotak,MakeMyTrip,SUCCESS
TXN00239,2024-03-01,9121.93,RTGS,ICICI,Uber,DISCREPANCY
TXN00240,2024-03-12,47025.91,UPI,Kotak,Swiggy,SUCCESS
TXN00241,2024-06-20,47698.73,RTGS,HDFC,Swiggy,SUCCESS
TXN00242,2024-05-04,42534.14,UPI,ICICI,Zomato,DISCREPANCY
TXN00243,2024-02-24,18539.43,NEFT,HDFC,Uber,SUCCESS
TXN00244,2024-05-18,822.06,ATM,SBI,BigBasket,SUCCESS
TXN00245,2024-02-03,46419.51,IMPS,HDFC,BigBasket,SUCCESS
TXN00246,2024-05-26,21437.8,RTGS,SBI,Zomato,PENDING
TXN00247,2024-05-27,48334.41,ATM,SBI,BookMyShow,PENDING
TXN00248,2024-05-01,48182.82,IMPS,HDFC,MakeMyTrip,SUCCESS
TXN00249,2024-03-03,42516.26,IMPS,ICICI,BigBasket,DISCREPANCY
TXN00250,2024-05-01,14757.72,UPI,Kotak,Ola,SUCCESS
TXN00251,2024-04-14,19285.63,NEFT,Kotak,Flipkart,SUCCESS
TXN00252,2024-02-18,42564.28,NEFT,SBI,Zomato,SUCCESS
TXN00253,2024-01-25,15880.25,ATM,SBI,Zomato,SUCCESS
TXN00254,2024-01-25,8516.16,NEFT,ICICI,Amazon,SUCCESS
TXN00255,2024-06-17,27862.22,RTGS,Axis,IRCTC,SUCCESS
TXN00256,2024-04-20,46810.93,NEFT,HDFC,IRCTC,SUCCESS
TXN00257,2024-03-31,31769.93,ATM,SBI,Ola,DISCREPANCY
TXN00258,2024-04-18,28524.56,NEFT,Kotak,Uber,SUCCESS
TXN00259,2024-04-15,4903.97,RTGS,ICICI,BookMyShow,SUCCESS
TXN00260,2024-04-29,30769.61,UPI,HDFC,Swiggy,SUCCESS
TXN00261,2024-01-14,49503.19,ATM,ICICI,Swiggy,SUCCESS
TXN00262,2024-06-21,7047.2,UPI,HDFC,PhonePe,SUCCESS
TXN00263,2024-06-16,25940.57,UPI,HDFC,Ola,FAILED
TXN00264,2024-06-14,43874.78,UPI,SBI,Zomato,SUCCESS
TXN00265,2024-01-26,37051.39,IMPS,ICICI,Ola,SUCCESS
TXN00266,2024-01-16,34865.94,IMPS,ICICI,Ola,SUCCESS
TXN00267,2024-04-13,35139.08,UPI,Kotak,Ola,SUCCESS
TXN00268,2024-03-27,18006.58,ATM,Kotak,IRCTC,SUCCESS
TXN00269,2024-01-28,14714.91,RTGS,SBI,Ola,SUCCESS
TXN00270,2024-03-04,40477.59,RTGS,SBI,MakeMyTrip,SUCCESS
TXN00271,2024-02-19,40515.16,NEFT,Axis,Flipkart,PENDING
TXN00272,2024-02-18,43360.26,ATM,Kotak,Swiggy,SUCCESS
TXN00273,2024-05-17,45666.37,IMPS,HDFC,PhonePe,SUCCESS
TXN00274,2024-04-24,25591.55,UPI,ICICI,Flipkart,SUCCESS
TXN00275,2024-02-05,25100.74,NEFT,SBI,PhonePe,SUCCESS
TXN00276,2024-04-18,39924.84,RTGS,ICICI,Amazon,SUCCESS
TXN00277,2024-02-16,32515.7,IMPS,ICICI,PhonePe,SUCCESS
TXN00278,2024-03-12,35113.25,IMPS,Axis,Swiggy,SUCCESS
TXN00279,2024-04-28,42406.88,UPI,Kotak,Swiggy,DISCREPANCY
TXN00280,2024-03-04,44505.77,RTGS,SBI,Ola,SUCCESS
TXN00281,2024-01-20,16932.86,ATM,ICICI,Paytm,SUCCESS
TXN00282,2024-04-23,18810.37,IMPS,SBI,Amazon,SUCCESS
TXN00283,2024-05-20,4744.4,UPI,HDFC,MakeMyTrip,SUCCESS
TXN00284,2024-01-26,28935.09,ATM,Axis,Zomato,SUCCESS
TXN00285,2024-01-13,1845.32,RTGS,HDFC,BigBasket,SUCCESS
TXN00286,2024-06-15,23306.62,IMPS,SBI,PhonePe,SUCCESS
TXN00287,2024-05-18,27637.0,ATM,SBI,Paytm,DISCREPANCY
TXN00288,2024-01-04,14362.74,ATM,Kotak,Ola,PENDING
TXN00289,2024-01-24,29562.12,ATM,ICICI,IRCTC,SUCCESS
TXN00290,2024-03-01,1573.49,IMPS,ICICI,Zomato,SUCCESS
TXN00291,2024-02-12,1915.54,IMPS,HDFC,BookMyShow,SUCCESS
TXN00292,2024-04-14,41138.9,NEFT,Axis,Uber,SUCCESS
TXN00293,2024-05-04,18041.52,RTGS,ICICI,Paytm,FAILED
TXN00294,2024-05-03,6396.67,UPI,Kotak,IRCTC,PENDING
TXN00295,2024-02-24,26136.05,ATM,HDFC,Amazon,SUCCESS
TXN00296,2024-04-12,38511.18,NEFT,HDFC,BookMyShow,SUCCESS
TXN00297,2024-01-16,10830.26,UPI,Kotak,Ola,SUCCESS
TXN00298,2024-02-12,31163.38,NEFT,Axis,Zomato,FAILED
TXN00299,2024-04-07,4313.11,IMPS,Kotak,Zomato,SUCCESS
TXN00300,2024-01-01,2631.5,ATM,Axis,Zomato,SUCCESS
TXN00301,2024-04-09,26591.16,UPI,Kotak,Amazon,SUCCESS
TXN00302,2024-03-08,27054.72,UPI,Kotak,BookMyShow,SUCCESS
TXN00303,2024-04-26,31889.62,UPI,SBI,PhonePe,SUCCESS
TXN00304,2024-03-14,34142.61,UPI,HDFC,Uber,DISCREPANCY
TXN00305,2024-04-18,48793.81,UPI,Kotak,MakeMyTrip,SUCCESS
TXN00306,2024-06-27,25839.2,NEFT,Kotak,Amazon,SUCCESS
TXN00307,2024-05-22,16181.68,ATM,ICICI,BigBasket,SUCCESS
TXN00308,2024-06-18,39769.55,IMPS,HDFC,Uber,SUCCESS
TXN00309,2024-05-04,13578.07,IMPS,ICICI,Swiggy,SUCCESS
TXN00310,2024-02-09,21976.62,IMPS,HDFC,Ola,SUCCESS
TXN00311,2024-02-18,3968.9,IMPS,ICICI,Amazon,SUCCESS
TXN00312,2024-03-16,1316.27,NEFT,Kotak,IRCTC,SUCCESS
TXN00313,2024-02-25,48134.29,RTGS,Kotak,Uber,SUCCESS
TXN00314,2024-01-15,41807.21,ATM,SBI,BigBasket,SUCCESS
TXN00315,2024-05-28,34813.91,UPI,ICICI,Swiggy,SUCCESS
TXN00316,2024-05-18,20477.2,RTGS,Axis,PhonePe,SUCCESS
TXN00317,2024-01-16,8706.05,IMPS,SBI,BookMyShow,SUCCESS
TXN00318,2024-03-21,7864.03,RTGS,ICICI,IRCTC,SUCCESS
TXN00319,2024-01-15,12549.63,ATM,ICICI,Uber,SUCCESS
TXN00320,2024-01-13,29924.67,UPI,SBI,Ola,DISCREPANCY
TXN00321,2024-05-29,32451.75,UPI,Kotak,BookMyShow,DISCREPANCY
TXN00322,2024-05-02,32624.92,ATM,ICICI,IRCTC,DISCREPANCY
TXN00323,2024-05-08,12996.11,ATM,Kotak,Swiggy,DISCREPANCY
TXN00324,2024-05-15,47745.52,IMPS,SBI,IRCTC,SUCCESS
TXN00325,2024-02-10,36907.95,UPI,Kotak,BookMyShow,SUCCESS
TXN00326,2024-01-15,27739.98,RTGS,HDFC,Flipkart,SUCCESS
TXN00327,2024-05-10,30605.45,NEFT,Axis,MakeMyTrip,SUCCESS
TXN00328,2024-01-21,21009.02,NEFT,ICICI,Paytm,SUCCESS
TXN00329,2024-02-17,12142.23,ATM,Axis,PhonePe,DISCREPANCY
TXN00330,2024-01-18,17830.84,IMPS,Kotak,Swiggy,SUCCESS
TXN00331,2024-06-01,34942.29,NEFT,ICICI,BookMyShow,DISCREPANCY
TXN00332,2024-01-18,768.95,UPI,Kotak,MakeMyTrip,SUCCESS
TXN00333,2024-06-21,5847.83,ATM,HDFC,MakeMyTrip,SUCCESS
TXN00334,2024-03-01,2347.83,RTGS,SBI,IRCTC,SUCCESS
TXN00335,2024-04-13,2084.4,ATM,ICICI,Paytm,SUCCESS
TXN00336,2024-01-31,42780.26,RTGS,HDFC,MakeMyTrip,PENDING
TXN00337,2024-05-25,35197.71,ATM,HDFC,Paytm,PENDING
TXN00338,2024-03-04,23734.98,ATM,ICICI,IRCTC,SUCCESS
TXN00339,2024-05-28,4936.82,ATM,Kotak,BookMyShow,SUCCESS
TXN00340,2024-06-01,24606.21,RTGS,HDFC,Ola,SUCCESS
TXN00341,2024-01-11,23858.16,RTGS,Axis,Flipkart,DISCREPANCY
TXN00342,2024-06-07,8701.43,ATM,HDFC,MakeMyTrip,SUCCESS
TXN00343,2024-01-21,21720.89,NEFT,Kotak,Amazon,SUCCESS
TXN00344,2024-04-17,19955.31,IMPS,Kotak,Flipkart,SUCCESS
TXN00345,2024-06-17,30811.71,IMPS,Axis,IRCTC,SUCCESS
TXN00346,2024-05-29,31772.93,IMPS,HDFC,PhonePe,SUCCESS
TXN00347,2024-05-24,2312.94,RTGS,Kotak,Amazon,SUCCESS
TXN00348,2024-05-13,18761.9,RTGS,ICICI,Swiggy,SUCCESS
